Locutor	Locución	Sarcasmo	Utsumi	hipérbole	Haverkate	Grice	Nakamura	Acto de habla
archer	Francamente no	false		false				
cheryl	Lo del canadiense. Por favor, como que vosotros no os tiraríais allí si pudieseis	false		false				
archer	Tienes razón. A lo mejor así te liberas de tu energía nagativa	false		false				
conway	Pues, tú sabrás	false		false				
lana	Para mí que fue Krieger	false		false				
slater	Y por qué tienes un bebé?	false		false				
lana	Lando	false		false				
madre de stan	En serio Randy, creo que este deporte le hizo algo de daño a tu cerebro	false		false				
krieger	Para, estáte quieto, para	false		false				
krieger	Esperad. No os ha parecido Archer un poco asustado?	false		false				
cartman	No, no, usted me jode. Al carajo!	false		false				
archer	Por Dios, pibe, ya te oigo	false		false				
cyril	Claro, él que fuma junto a la niña	true	insinceridad,alusión	false	distinto	calidad	norma	representativo
archer	Por no decir robotizado. ¿De dónde coño has sacado una mano biónica?	false		false				
slater	Pues, venga, subid atrás. Tengo un avión esperando	false		false				
archer	Recordadme que si ese desgraciado no os mata a todos, lo haga yo	false		false				
archer	No me jodas, Cyril!	false		false				
lana	¿Y qué haces en la ventana?	false		false				
stan	Y, pues existe un refrán hindu que dice, quien lo fundió, lo generó	false		false				
randy	Corten, perdón, voy de nuevo. Intento decir que deberíamos tener diez ligas de sarcasmobol y así todos pueden jugar. ¡Ah, mierda!	true	insinceridad	true	distinto	calidad		expresivo,representativo
archer	Que, es todo para ella	false		false				
butters	¡Muy bien! Disculpe, perdón. Ustedes lucen geniales. ¡Wow, este juego es genial!	false		false				
archer	¿Por qué no te callas?	false		false				
archer	Coronel Calrissiano, si no te importa	false		false				
abuelo	Oro de quatorce quilates con una turquesa y diamantes reales	false		false				
lana	¿Entonces, el plan de Conway no te parece innecesariamente complicado?	false		false				
randy	Ya sabes. Intenta llegar a la zona de notación, pero con mucha amabilidad	true	insinceridad	true	distinto	calidad		directivo
kyle	Sí	false		false				
butters	Tengo el globo, el entrenador Marsh. ¿Ahora qué hago?	false		false				
malory	Pues, yo, como es lógico	false		false				
guardia	Disculpe	false		false				
criminal	Por favor, le han disparado	false		false				
archer	Y yo voto por madre y Woodhouse	false		false				
madre de stan	Randy, algo te ha ocurrido. ¿No puedes dejar de ser sarcástico?	false		false				
ray	Pero, oiga, ¿son necesarias las armas? Lo pregunto totalmente en serio	true	insinceridad	false	distinto	calidad		representativo,expresivo
madre de stan	Oh, Randy, está ocurriendo	false		false				
stan	Lo siento chicos, mi papá dice que está muy ocupado con los Broncos, no tiene tiempo	false		false				
conway	Y oye, llámame si no te va bien con la cría	false		false				
padre de butters	¿Qué?	false		false				
lana	¿Y no crees que parecemos récien salidos de un culebrón brasileño?	false		false				
malory	Bien dicho	false		false				
madre de butters	¿Cómo ayudarían los sosténes y sombreros de papel?	false		false				
cartman	Puede ser. Necesitaré collares de oro, brazaletes de diamantes, y de esmeraldas	false		false				
slater	Espera, hablas urdu?	false		false				
lana	Porque sí, imbécil, resumiendo nos has cerrado en la limusina de las narices	false		false				
butters	Eh, oigan. No puedo creer lo que oigo. Practicamos y preparamos para este juego y quieren rendirse.	false		false				
archer	Sí lo soy	false		false				
kyle	No te preocupes, tiene que haber otro lugar donde compren oro cerca	false		false				
lana	¿Para criar a mi hija?	false		false				
lana	Ya que estás aquí, ¿por qué no nos cuentas cuál es la misión?	false		false				
archer	Esta Lana, mira que montar esto solo para que le llamara y pidiera ayuda. Y Slater con sangre falsa. Qué pena da el pobre	false		false				
krieger	Espera, sí, literalmente	false		false				
randy	No, no, el sarcasmobol no tiene nada que ver, yo sólo, sólo estoy disfrutando mucho del sarcasmo y debo buscar excusas	true	insinceridad,emocional	false	distinto	calidad	expectación	expresivo,representativo
butters	Bien, papá. Lo guardaré para después.	false		false				
slater	Sí, sospechábamos un poco	false		false				
cartman	Oh, ah... Tres dólares	false		false				
archer	Al suelo, mire, ¿qué estás? Uy, estaba haciendo un simulacro. Les estaba poniendo en prueba, buen trabajo.	false		false				
jugador	Cuando estoy agotado, es el único que me hace subir la compasión. Ahora de vuelta al campo	false		false				
sharon	Ah, miren eso! Una corbata de cordón. No es hermosa, Stan?	false		false				
archer	Espera, literalmente no, pero muchas	false		false				
lana	Decías algo acerca de un plan	true	alusión	false		calidad	expectación	representativo
slater	Pues vas mal	false		false				
randy	Sí, el otro equipo tenía una delantera tan ofensiva que me asustó mucho	true	insinceridad	true	distinto	calidad		expresivo
archer	Así mejor, que hay un bebé	false		false				
archer	Idiotas, hijos de puta, conmigo está el presidente de Brasil y su esposa. Y mirad, aquí, sucia, sucia. Toda, todas las armas al suelo	false		false				
archer	Porque es dónde se producen 80 % de los accidentes domésticos	false		false				
pam	Méxicano negro?	false		false				
conway	Bueno, idiotas. Gracias por ayudarme a pillar el disco. Los rusos me van a dar una pasta ancha por él	false		false				
malory	Una importante misión para ISIS que podemos. Enfestar de un chupe para hacer carambola	false		false				
randy	Gracias, doctor, muchas gracias	true	insinceridad,emocional	false	distinto	calidad		expresivo
cyril	Tendríamos que habernos ido antes	false		false				
randy	Oh, sí, buena esa	true	insinceridad,emocional	false	contrario	calidad		expresivo
archer	Han montado todo esto? Que me dispararan, que le dispararan a Slater?	false		false				
vivian	Oooo... No lo recuerdo	false		false				
archer	Esta vez han podido con el pobre Lando. Estoy acabado	false		false				
lana	Oh, pues, no te habría visto sopearte veinte copas y no haría falta para que te meneara	false		false				
butters	Es cierto, Eric me dice que debería ser una mujer por lo malo que soy	false		false				
criminal	Eh idiota, que soy paquistaní	false		false				
archer	Te he oído pero no pienso mover hasta que te lo pongas	false		false				
archer	Verdad?	false		false				
pam	Oye, oye, venga, seguro que, esperad, que no has secuestrado al bebé. ¿Pero de verdad en la buena?	false		false				
archer	Más de la de la terraza	false		false				
cyril	Iba a decir excesivo	false		false				
archer	Sí	false		false				
butters	Y cuando el otro equipo intenta acercarse, tendrémos que hacer un esfuerzo, llegar a nuestro centro cremoso. Es el lugar que tenemos adentro en que se encuentra todo el amor y felizidad que debemos usar para ser los jugadores más amables y compasivos que el mundo haya visto. Y sabrán que no caemos tan fácilmente	false		false				
archer	¿Eh sí? Perdón, es que me preocupa haber usado mal la palabra literalmente toda mi vida	true	insinceridad,emocional	false	distinto	calidad	expectación	expresivo
archer	Pero hay otras mesas	false		false				
jugador	¿Practicar un lunes luego de una victoria? ¡Genial!	true	insinceridad,emocional	true	contrario	calidad	expectación	expresivo
archer	Cállaos los dos. Por qué aviso a navegantes? Esto es un bebé	false		false				
archer	No, no para nada	true	insinceridad,emocional	false	contrario	calidad		expresivo
archer	Bueno, conmigo está el presidente de Brasil y su esposa grande	false		false				
archer	Ya, hola. Un mexicano negro?	false		false				
archer	¿Más jóven?	false		false				
conway	¿Crees que lo hay, torpe?	false		false				
periodista	El entrenador Bellici dijo: 'No podemos derrotar a los Broncos. Este entrenador les duró casi un día'	false		false				
krieger	Vale	false		false				
krieger	Más quisiera, digo no, no. Estaba haciendo un estudo de mercado para TB-800 alias ciberosíto de peluche	false		false				
archer	¿Tienes una hermana?	false		false				
cyril	¿Cómo se pierde un bebé?	false		false				
criminal	Pero creía que era algo racista	false		false				
stan	Papá	false		false				
randy	Seis mil?	false		false				
criminal	Voy a pedir refuerzos	false		false				
slater	Porque tiempo es crucial, asta ayer Baruk era un ciber espía de la inteligencia paquistaní. Pero ahora quere pasarse a nuestro bando	false		false				
stan	Sí, abuelo	false		false				
lana	¿Un poco? Nos mandaste a un… espera, nos seguiste hasta aquí	false		false				
slater	Eh?	false		false				
animador	¿Es futbol seguro para sus hijos? Un padre preocupado, Randy Marsh, dice que no. Comenzó un movimiento para reformar el deporte y ya tiene cientos de seguidores.	false		false				
ray	David, Key, Keith, Kenny	false		false				
empresario	Oye, niño, si tienes un problema con el sistema, estás en un lugar equivocado. Aquí solo fundimos lo que nos envían de los lugares de compra de oro	false		false				
archer	Ojalá siguiera entre nosotros. Podría haber parado algunas balas. Por Dios! En fin, van ocho incluida la que está en mi hombro, así que	false		false				
randy	Solo intento irme sin ser descortéz	false		false				
slater	¿Tenéis el disco?	false		false				
empresario	"""Nosotros no somos los que negamos el verdadero valor de sus joyas, el refrán hindu en realidad dice """"mai pai pachata hai"""""""	false		false				
krieger	No, pero cuando descubra cómo criar de tejido un oso de verdad para cubrirlo	false		false				
criminal	Ya pero	false		false				
kyle	Qué está haciendo?	false		false				
malory	No, no, no, claro que no	false		false				
archer	Vale	false		false				
archer	Nuestra hija, Lana	false		false				
criminal	Sobre todo hago improvisaciones	false		false				
lana	No, no, no puedes hacerte verbo, no te lo consiento	false		false				
archer	Qué?	false		false				
cyril	...Hay que fastidiarse	false		false				
archer	Oye, tú no eres mi jefe	false		false				
archer	No creo que pueda romper nada	false		false				
lana	¿Qué?	false		false				
lana	No, les maquillaron los de la CIA que les queda muy realista	false		false				
cartman	Esas corbatas están de moda, tiene suerte de tenerla	true	insinceridad	false	contrario	calidad		representativo,expresivo
archer	En serio, bueno, como decía	false		false				
